통화명, 매매기준율, 전일대비, 등락률 
미국 USD, 1425.00, ▼8.00, -0.56% 
일본 JPY 100, 961.28, ▼7.13, -0.74% 
유럽연합 EUR, 1419.02, ▼6.39, -0.45% 
중국 CNY, 194.94, ▼1.02, -0.52% 
영국 GBP, 1633.62, ▼9.60, -0.58% 
호주 AUD, 912.36, ▼2.68, -0.29% 
캐나다 CAD, 1047.68, ▼3.91, -0.37% 
뉴질랜드 NZD, 819.23, ▼5.46, -0.66% 
